"title","contents","link","date","key"
"<b>인천</b> 공론화 1호 의제 ‘자체 쓰레기<b>매립지</b> 조성’ 선정","  인천   시는 오는 년 종료를 앞둔   인천   시   서구    수도권쓰레기  매립지   를 대체할   매립지   를 조성하는 사업이 진전이 없자   인천    쓰레기만 따로 처리할 수 있는 자체   매립지   를 조성해 서울 경기 쓰레기를 받지 않는 방안을    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001585648","Tue, 01 Oct 2019 23:38:00 +0900","매립지"
"&quot;수도권쓰레기 <b>매립지</b>는 위헌&quot;…박종진, 헌법소원 청구","박종진 미래통합당   인천 서구   을 후보는   인천 서구   의 수도권쓰레기   매립지   가 헌법이 보장한 환경권과 평등권  행복추구권에 위배된다며 헌법재판소에 정식으로 헌법소원 심판을 청구했다고 밝혔습니다  박 후보는 지난    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001442103","Thu, 09 Apr 2020 15:23:00 +0900","매립지"
"경기도-<b>인천</b>시, 정부에 &quot;수도권 공동 쓰레기 <b>매립지</b> 조성 서둘러야&quot;","이는 서울   인천    경기 등 수도권 대 광역자치단체의 쓰레기가 년부터   인천   시   서구    백석동의 수도권  매립지   에서 처리되고 있지만 년 이후에는 갈 곳이 없는 우려를 낳고 있어서다  이재명 경기도지사와 박남춘    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004214191","Wed, 25 Sep 2019 15:29:00 +0900","매립지"
"<b>인천</b>에 국내 첫 '드론인증센터' 집적화 가속도","市 항공안전기술원 년까지 조성국토부 비행전용시험장 유치 이어창업공간등 신설  클러스터화  계획국내 최초의 국가 드론인증센터가   인천 서구    수도권  매립지   에 들어서게 됐다   인천   시는 년까지 억원을 들여    ","http://www.kyeongin.com/main/view.php?key=20191009010003067","Wed, 09 Oct 2019 22:04:00 +0900","매립지"
"‘수도권쓰레기<b>매립지</b>’ 선정 난항…<b>인천</b>시, ‘자체 <b>매립지</b>’ 확보 준비","환경부와 수도권 개 시 도는 지난 년 월   인천 서구   에 있는  수도권  매립지     사용 기간을 오는 년까지 년 연장하는 대신   매립지    소유권과   매립지   공사 관할권을   인천   시로 이관하기로 합의했습니다  그러나    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=056&aid=0010724440","Mon, 22 Jul 2019 11:09:00 +0900","매립지"
"경기도·<b>인천</b>시 &quot;수도권 대체<b>매립지</b> 조성, 정부가 나서라&quot;","서울   인천    경기 지역 쓰레기는 서울 난지도 매립장 사용 종료 이후 년부터   인천   시   서구    백석동에 있는 수도권  매립지   에서 함께 처리되고 있지만  년 이후에는 갈 곳이 없다는 것이 가장 큰 문제다  수도권  매립지        ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003624593","Wed, 25 Sep 2019 17:29:00 +0900","매립지"
"수도권<b>매립지</b> 특별회계 용도변경에 주민 반발 확산","또     매립지   는    인천 서구    에 위치한 것으로 인식됨에 따라   서구    전체의 이미지와 거주 선호도 하락  이에 따른 재산과 무형적 손실은 모두   서구   민이 겪는   매립지   의 부정적인 영향  이라고 했다    서구   가 추가 신청한 사업에는    ","http://www.joongboo.com/news/articleView.html?idxno=363383452","Tue, 10 Dec 2019 19:58:00 +0900","매립지"
"이재명-박남춘 “정부, 수도권 공동대체<b>매립지</b> 추진주체로 나서라”","용역보고서에는   인천   시   서구    수도권   매립지   를 대체할 수 있는 후보지 곳이 선정된 것으로 전해졌다  후보지 희망 도시에는 총사업비의  인 억원의 인센티브 제공도 제안했다  그러나 환경부와 개 시도 사이 갈등으로    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004213570","Wed, 25 Sep 2019 10:01:00 +0900","매립지"
"<b>인천</b>시 &quot;신규 수도권 쓰레기<b>매립지</b> 조성 정부가 주도해야&quot;","  인천   시는   서구   에 있는 수도권 쓰레기  매립지   가  매립장을 끝으로 년 월 사용 종료돼야 한다는 입장이다  년 월 환경부 서울 경기   인천    등 자 협의체는 수도권  매립지     매립장을 추가 사용하되  매립장 사용이    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010771012","Thu, 18 Apr 2019 11:07:00 +0900","매립지"
"<b>인천</b>시, <b>서구</b> 수도권<b>매립지</b>에 드론인증센터 유치 확정","또한 올해 월 국토교통부 드론비행전용시험장을 수도권 최초로 유치한데 이어 국내 유일의 드론인증센터를 유치함에 따라   서구    수도권  매립지   에 국가 드론 시험과 인증을 동시에 할 수 있게 되었다  이를 위해   인천   시는    ","http://www.newsfreezone.co.kr/news/articleView.html?idxno=201985","Wed, 09 Oct 2019 13:21:00 +0900","매립지"
